# AW Keyword,New Keyword,Comment,Unit
ERRCYY_WORLD_THELI,ERRCYY_WORLD,"Error on CYY_WORLD (deg^-2)","deg**(-2)"
ERRCXY_WORLD_THELI,ERRCXY_WORLD,"Error on CXY_WORLD (deg^-2)","deg**(-2)"
A_THELI,A_IMAGE,"Profile RMS along x-axis (pix)","pixel"
B_THELI,B_IMAGE,"Profile RMS along y-axis (pix)","pixel"
ERRA_IMAGE_THELI,ERRA_IMAGE,"Error on A_IMAGE","pixel"
ERRB_IMAGE_THELI,ERRB_IMAGE,"Error on B_IMAGE","pixel"
ELLIPTICITY_THELI,S_ELLIPTICITY,"SExtractor Ellipticity (1-B_IMAGE/A_IMAGE)",""
ELONGATION_THELI,S_ELONGATION,"SExtractor Elongation (A_IMAGE/B_IMAGE)",""
MAG_APER_4_THELI,MAG_APER_4,"r-band Magnitude within a circular aperture of 4 pixels (mag)","mag"
MAGERR_APER_4_THELI,MAGERR_APER_4,"Error on MAG_APER_4 (mag)","mag"
FLUX_APER_4_THELI,FLUX_APER_4,"r-band Flux within a circular aperture of 4 pixels (count)","count"
FLUXERR_APER_4_THELI,FLUXERR_APER_4,"Error on FLUX_APER_4 (count)","count"
MAG_APER_6_THELI,MAG_APER_6,"r-band Magnitude within a circular aperture of 6 pixels (mag)","mag"
MAGERR_APER_6_THELI,MAGERR_APER_6,"Error on MAG_APER_6 (mag)","mag"
FLUX_APER_6_THELI,FLUX_APER_6,"r-band Flux within a circular aperture of 6 pixels (count)","count"
FLUXERR_APER_6_THELI,FLUXERR_APER_6,"Error on FLUX_APER_6 (count)","count"
MAG_APER_8_THELI,MAG_APER_8,"r-band Magnitude within a circular aperture of 8 pixels (mag)","mag"
MAGERR_APER_8_THELI,MAGERR_APER_8,"Error on MAG_APER_8 (mag)","mag"
FLUX_APER_8_THELI,FLUX_APER_8,"r-band Flux within a circular aperture of 8 pixels (count)","count"
FLUXERR_APER_8_THELI,FLUXERR_APER_8,"Error on FLUX_APER_8 (count)","count"
MAG_APER_10_THELI,MAG_APER_10,"r-band Magnitude within a circular aperture of 10 pixels (mag)","mag"
MAGERR_APER_10_THELI,MAGERR_APER_10,"Error on MAG_APER_10 (mag)","mag"
FLUX_APER_10_THELI,FLUX_APER_10,"r-band Flux within a circular aperture of 10 pixels (count)","count"
FLUXERR_APER_10_THELI,FLUXERR_APER_10,"Error on FLUX_APER_10 (count)","count"
MAG_APER_14_THELI,MAG_APER_14,"r-band Magnitude within a circular aperture of 14 pixels (mag)","mag"
MAGERR_APER_14_THELI,MAGERR_APER_14,"Error on MAG_APER_14 (mag)","mag"
FLUX_APER_14_THELI,FLUX_APER_14,"r-band Flux within a circular aperture of 14 pixels (count)","count"
FLUXERR_APER_14_THELI,FLUXERR_APER_14,"Error on FLUX_APER_14 (count)","count"
MAG_APER_20_THELI,MAG_APER_20,"r-band Magnitude within a circular aperture of 20 pixels (mag)","mag"
MAGERR_APER_20_THELI,MAGERR_APER_20,"Error on MAG_APER_20 (mag)","mag"
FLUX_APER_20_THELI,FLUX_APER_20,"r-band Flux within a circular aperture of 20 pixels (count)","count"
FLUXERR_APER_20_THELI,FLUXERR_APER_20,"Error on FLUX_APER_20 (count)","count"
MAG_APER_30_THELI,MAG_APER_30,"r-band Magnitude within a circular aperture of 30 pixels (mag)","mag"
MAGERR_APER_30_THELI,MAGGERR_APER_30,"Error on MAG_APER_30 (mag)","mag"
FLUXERR_APER_30_THELI,FLUXERR_APER_30,"r-band Flux within a circular aperture of 30 pixels (count)","count"
FLUX_APER_30_THELI,FLUX_APER_30,"Error on FLUX_APER_30 (count)","count"
MAG_APER_40_THELI,MAG_APER_40,"r-band Magnitude within a circular aperture of 40 pixels (mag)","mag"
MAGERR_APER_40_THELI,MAGERR_APER_40,"Error on MAG_APER_40 (mag)","mag"
FLUX_APER_40_THELI,FLUX_APER_40,"r-band Flux within a circular aperture of 40 pixels (count)","count"
FLUXERR_APER_40_THELI,FLUXERR_APER_40,"Error on FLUX_APER_40 (count)","count"
MAG_APER_60_THELI,MAG_APER_60,"r-band Magnitude within a circular aperture of 60 pixels (mag)","mag"
MAGERR_APER_60_THELI,MAGERR_APER_60,"Error on MAG_APER_60 (mag)","mag"
FLUX_APER_60_THELI,FLUX_APER_60,"r-band Flux within a circular aperture of 60 pixels (count)","count"
FLUXERR_APER_60_THELI,FLUXERR_APER_60,"Error on FLUX_APER_60 (count)","count"
MAG_APER_100_THELI,MAG_APER_100,"r-band Magnitude within a circular aperture of 100 pixels (mag)","mag"
MAGERR_APER_100_THELI,MAGERR_APER_100,"Error on MAG_APER_100 (mag)","mag"
FLUX_APER_100_THELI,FLUX_APER_100,"r-band Flux within a circular aperture of 100 pixels (count)","count"
FLUXERR_APER_100_THELI,FLUXERR_APER_100,"Error on FLUX_APER_100 (count)","count"
ISO0_THELI,ISO0,"Isophotal area at level 0 (pixel^2)","pixel**2"
ISO1_THELI,ISO1,"Isophotal area at level 1 (pixel^2)","pixel**2"
ISO2_THELI,ISO2,"Isophotal area at level 2 (pixel^2)","pixel**2"
ISO3_THELI,ISO3,"Isophotal area at level 3 (pixel^2)","pixel**2"
ISO4_THELI,ISO4,"Isophotal area at level 4 (pixel^2)","pixel**2"
ISO5_THELI,ISO5,"Isophotal area at level 5 (pixel^2)","pixel**2"
ISO6_THELI,ISO6,"Isophotal area at level 6 (pixel^2)","pixel**2"
ISO7_THELI,ISO7,"Isophotal area at level 7 (pixel^2)","pixel**2"
RA,ALPHA_J2000,"SExtractor named Centroid sky position right ascension (J2000) (deg)","deg"
DEC,DELTA_J2000,"SEXtractor named Centroid sky position declination (J2000) (deg)","deg"
2DPHOT,SG2DPHOT,"2DPhot Star/Galaxy classifier (1 for high confidence star)",""
HTM_THELI,HTM,"Hierarchical Triangular Mesh (level 25)",""
