OBJECT,Catalogue,off_u_gaia,dmag_u,off_u
KIDS_358.9_-27.2,KIDS_358p9_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.0953000314720703,0.0086703415711021,0.1039703730431724
KIDS_168.0_1.5,KIDS_168p0_1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.05400431064526581,0.1184814527025378,0.17248576334780363
KIDS_335.2_-28.2,KIDS_335p2_m28p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.06809985531140351,0.0464813809651937,-0.021618474346209816
KIDS_19.2_-34.1,KIDS_19p2_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.0650785036494366,0.1271853411094349,0.1922638447588715
KIDS_2.4_-35.1,KIDS_2p4_m35p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.051750737777071426,0.014391154073872,0.06614189185094342
KIDS_336.0_-34.1,KIDS_336p0_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.1780163550327268,-0.1146901881831652,0.0633261668495616
KIDS_47.1_-27.2,KIDS_47p1_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.05971608953319282,0.1604084772350821,0.10069238770188926
KIDS_156.0_0.5,KIDS_156p0_0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.009216333322914091,0.1327503594581702,0.12353402613525612
KIDS_16.5_-32.1,KIDS_16p5_m32p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0575604137517505,0.1975862956895255,0.140025881937775
KIDS_216.0_-1.5,KIDS_216p0_m1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.04166050184752254,-0.0209243377629795,0.02073616408454304
KIDS_330.0_-34.1,KIDS_330p0_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.04977442773056659,0.0399874204789863,0.08976184820955288
KIDS_348.7_-28.2,KIDS_348p7_m28p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.05193794040437421,0.1281680850190977,0.0762301446147235
KIDS_228.0_-1.5,KIDS_228p0_m1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.013942372723038415,-0.008313394494257,0.0056289782287814154
