OBJECT,Catalogue,u_kids,u_gaia,u_kids_10,u_gaia_10,g_kids,g_gaia,g_kids_10,g_gaia_10,r_kids,r_gaia,r_kids_10,r_gaia_10,i_kids,i_gaia,i_kids_10,i_gaia_10,i2_kids,i2_gaia,i2_kids_10,i2_gaia_10,Ebv,b,Survey,FLAG
KIDS_171.0_-0.5,KIDS_171p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,1.3062217302593435,-0.0452424196023451,0.8517462920887066,-0.0462314196023452,0.371740307684214,0.030577,0.2399223553645835,0.035529,0.0267934056128128,0.030531,0.0290580775208764,0.035776,0.0786104971704113,0.072986,0.0834601170541045,0.076186,-1.111369426257241,0.075761,-0.9579408872901958,0.081867,0.028378,55.2862,KiDS,2
KIDS_46.2_-35.1,KIDS_46p2_m35p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0571761940547592,-0.0592109998032194,0.0577983266397775,-0.0578919998032194,-0.004981974857909,0.004059,-0.0051393707177676,0.006812,0.0419793171553429,0.054659,0.0442546675891742,0.057788,0.028602192201846,0.023152,0.0327011440537532,0.027023,-0.0241051113264562,-0.028747,-0.0193313332747785,-0.026357,0.015024,-60.4934,KiDS,0
KIDS_27.3_-29.2,KIDS_27p3_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.1989545403978678,-0.0640624194563264,0.2180583763778564,-0.0632494194563264,0.0512133390876615,0.056234,0.0589127805462709,0.058429,0.0582960064316862,0.070553,0.0614971941043892,0.072913,0.0389823390313606,0.021078,0.040825113759137,0.023976,-0.0483320845767985,-0.062784,-0.0470642738215955,-0.059378,0.013747,-77.0946,KiDS,0
KIDS_212.0_1.5,KIDS_212p0_1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.111657789292419,0.0147637291157698,0.1228196812793577,0.0157627291157698,0.0540168593548871,0.033209,0.059121207106955,0.036996,0.0460727489269659,0.048275,0.0497250027587915,0.05185,0.0108506651147348,0.01065,0.0144128790148321,0.015373,0.0241659388356292,0.023076,0.0279663123933532,0.028047,0.031539,58.4735,KiDS,0
KIDS_224.6_-2.5,KIDS_224p6_m2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0901410609625678,0.0574758532608039,0.0916776336169224,0.0582908532608039,0.0239868550710298,0.032344,0.0264094725618818,0.033948,0.006786236721013,0.010809,0.0092921489629796,0.012875,0.0472536827386134,0.047052,0.0510210516060858,0.050423,0.063075887493878,0.064514,0.0680819847462666,0.069652,0.079278,47.4074,KiDS,0
KIDS_30.0_-34.1,KIDS_30p0_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.168790052130569,-0.0503738387828487,0.1711483468837276,-0.0482808387828486,0.0295094843433429,0.031757,0.0337259154612828,0.034955,0.0646955316073448,0.077144,0.0675971196702397,0.080397,0.0357666121019493,0.0306,0.0374577983183957,0.033685,0.0372646530853336,0.034679,0.0412929561218113,0.037185,0.012642,-73.7189,KiDS,0
KIDS_15.4_-33.1,KIDS_15p4_m33p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.1324289515181039,-0.0509208091135647,0.1310137598104691,-0.0508708091135647,0.0371175423512682,0.043898,0.0383860469171566,0.047438,-0.0231269059314941,-0.004189,-0.0197348910507505,-0.002448,0.0602110593323973,0.059393,0.064328666938077,0.062328,0.0444498057575977,0.048444,0.0495613622480597,0.051425,0.01769,-83.2975,KiDS,0
KIDS_17.5_-31.2,KIDS_17p5_m31p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.1524517419823235,-0.0295234005490193,0.1529189286695538,-0.0283324005490193,-0.0033999994061802,0.021556,0.0027752455332496,0.022924,-0.0170196179096912,-0.003803,-0.0134474182490235,-0.001691,0.0959662960883288,0.077975,0.0983369120350913,0.08274,0.0669694030315241,0.046645,0.069868540261971,0.050391,0.021866,-84.3075,KiDS,0
KIDS_338.6_-28.2,KIDS_338p6_m28p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.1140233439313841,0.037239500659519,0.1124420774159851,0.039074500659519,0.0366139909313451,0.033693,0.037640388130589,0.036034,0.01674254493425,0.029777,0.0184693599394259,0.032306,0.0693158115400217,0.071905,0.0722820139204491,0.073566,0.0364900900976186,0.043352,0.0400889935983347,0.045884,0.016128,-59.6943,KiDS,0
KIDS_16.1_-30.2,KIDS_16p1_m30p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0586750605646604,-0.0377557111157244,0.0673499310527721,-0.0368297111157244,0.0285274810336602,0.039771,0.0309386289065493,0.043775,0.0001235500458612,0.013276,0.0032202777933095,0.014218,0.0451671493056869,0.040308,0.0481951877533506,0.043089,0.0472331670117432,0.041778,0.0516927904692154,0.045963,0.016845,-85.8148,KiDS,0
