OBJECT,Catalogue,Survey,off_u_gaia_0p7,off_u_gaia_1p0,dmag_u_0p7,dmag_u_1p0,off_u_0p7,off_u_1p0
KIDS_352.0_-29.2,KIDS_352p0_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.01633759547254232,0.01641859547254232,0.072414441400203,0.0868349637084773,0.056076845927660685,0.07041636823593499
KIDS_135.0_-0.5,KIDS_135p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.1484930815198051,0.1482240815198051,0.1741789429948826,0.1746709540637016,0.02568586147507751,0.026446872543896494
KIDS_38.4_-28.2,KIDS_38p4_m28p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.15814459205022405,-0.15490159205022405,0.0744392354741967,0.1097941532178311,0.23258382752442075,0.26469574526805517
KIDS_354.4_-27.2,KIDS_354p4_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.11503671613260363,-0.11398771613260364,0.0151910252795327,0.0219481818305076,0.13022774141213633,0.13593589796311123
KIDS_329.4_-32.1,KIDS_329p4_m32p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.01822827025258905,0.01908727025258905,0.1099744042035999,0.1171084488508542,0.09174613395101085,0.09802117859826515
KIDS_29.2_-27.2,KIDS_29p2_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.021090430588027065,0.02160343058802708,0.2206265530794061,0.222407039637142,0.19953612249137903,0.20080360904911493
KIDS_14.4_-34.1,KIDS_14p4_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.08441940484805914,0.08482340484805916,0.1557413123167141,0.1732091400344383,0.07132190746865495,0.08838573518637914
KIDS_337.6_-27.2,KIDS_337p6_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.056133046636668335,0.05661604663666833,0.0705874177550971,0.140732837804898,0.01445437111842876,0.08411679116822968
KIDS_34.1_-35.1,KIDS_34p1_m35p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.37036366396088904,-0.369667663960889,-0.0700976819322649,-0.0671608767408925,0.30026598202862415,0.3025067872199965
KIDS_50.6_-30.2,KIDS_50p6_m30p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.1501353476361787,0.15828534763617869,0.2446301822775926,0.2454438447254598,0.0944948346414139,0.08715849708928111
KIDS_21.9_-35.1,KIDS_21p9_m35p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.11097268696962034,-0.11035268696962039,0.0646246743432507,0.0819774344042171,0.17559736131287104,0.19233012137383748
KIDS_220.0_0.5,KIDS_220p0_0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.024909252688417233,-0.02390725268841723,0.0435003230827077,0.0452470261996787,0.06840957577112494,0.06915427888809593
KIDS_133.0_-0.5,KIDS_133p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.06701746979285964,0.06715446979285963,0.0349521617969304,0.0320625955488603,-0.032065307995929236,-0.03509187424399934
KIDS_340.6_-29.2,KIDS_340p6_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.04970359557350521,0.04975759557350521,0.1250784515173722,0.1337666229658619,0.075374855943867,0.08400902739235669
KIDS_331.2_-30.2,KIDS_331p2_m30p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.010926330913946014,-0.010549330913946012,0.0070934053171863,0.0281097809941256,0.018019736231132316,0.038659111908071614
KIDS_161.4_3.5,KIDS_161p4_3p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.006813806465282277,-0.005714806465282274,0.205990529015998,0.2116111988082299,0.21280433548128025,0.21732600527351217
KIDS_343.0_-35.1,KIDS_343p0_m35p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.02087205509854148,-0.02006705509854148,0.0336642590023694,0.0381477669293592,0.05453631410091088,0.05821482202790068
KIDS_238.0_0.5,KIDS_238p0_0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.010481012513195428,0.01154101251319542,0.107734492147419,0.1063868971827077,0.09725347963422357,0.09484588466951228
KIDS_129.0_-0.5,KIDS_129p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.05841844665762517,0.05868244665762517,0.0700994595299226,0.0673505358262265,0.011681012872297426,0.008668089168601338
KIDS_197.5_-2.5,KIDS_197p5_m2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.11467348151461162,-0.11199648151461164,-0.056826419022357,-0.0547099769537752,0.057847062492254624,0.05728650456083644
